REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Port Edward,2021A00055947007,5165,470,,467,,0.6,,207,,219,,-5.5,,181,,172,,5.2,,167.16,,2.8,,3007,,330,
2021-01-01,Prince Rupert,2021A00055947012,5166,12300,,12220,,0.7,,5747,,5677,,1.2,,5072,,4930,,2.9,,66.00,,186.4,,351,,52,
2021-01-01,Queen Charlotte,2021A00055947026,5167,964,,884,r,9.0,,574,,515,r,11.5,,488,,411,r,18.7,,35.58,,27.1,,2155,,279,
2021-01-01,S1/2 Tsimpsean 2,2021A00055947810,5168,,..,88,,,..,,..,50,,,..,,..,30,,,..,33.47,,,..,,..,,..
2021-01-01,Skidegate 1,2021A00055947804,5169,697,,837,,-16.7,,331,,382,,-13.4,,296,,339,,-12.7,,5.12,,136.0,,2532,,299,
2021-01-01,Tlaa Gaa Aawtlaas 28,2021A00055947823,5170,70,,71,r,-1.4,,30,,48,r,-37.5,,28,,45,r,-37.8,,0.64,,109.3,,4408,,498,
2021-01-01,Squamish-Lillooet,2021A00035931,5171,50496,,42665,,18.4,,26330,,23965,,9.9,,20012,,16416,,21.9,,16296.34,,3.1,,126,,17,
2021-01-01,Bridge River 1,2021A00055931813,5172,242,,241,,0.4,,95,,91,,4.4,,93,,90,,3.3,,39.02,,6.2,,3715,,390,
2021-01-01,Cayoosh Creek 1,2021A00055931814,5173,66,,66,,0.0,,39,,43,,-9.3,,34,,35,,-2.9,,1.58,,41.9,,4423,,499,
2021-01-01,Cheakamus 11,2021A00055931801,5174,95,,57,,66.7,,40,,21,,90.5,,33,,20,,65.0,,18.81,,5.0,,4284,,466,
2021-01-01,Chilhil 6,2021A00055931815,5175,63,,70,,-10.0,,31,,30,,3.3,,31,,28,,10.7,,2.54,,24.8,,4443,,504,
2021-01-01,Fountain 1,2021A00055931816,5176,93,,111,,-16.2,,42,,48,,-12.5,,40,,45,,-11.1,,1.38,,67.5,,4292,,468,
2021-01-01,Fountain 10,2021A00055931818,5177,5,,5,,0.0,,2,,2,,0.0,,2,,2,,0.0,,0.97,,5.1,,4760,,610,
2021-01-01,Fountain 11,2021A00055931819,5178,0,,0,,,...,1,,1,,0.0,,1,,1,,0.0,,0.22,,0.0,,4831,,644,
2021-01-01,Fountain 12,2021A00055931820,5179,10,,10,,0.0,,4,,4,,0.0,,3,,4,,-25.0,,0.30,,33.7,,4722,,592,
2021-01-01,Fountain 1B,2021A00055931842,5180,63,,73,,-13.7,,21,,22,,-4.5,,20,,20,,0.0,,0.85,,74.0,,4443,,504,
2021-01-01,Fountain 1D,2021A00055931825,5181,25,,5,r,400.0,,5,,3,r,66.7,,5,,3,r,66.7,,0.25,,99.4,,4629,,564,
2021-01-01,Fountain 3,2021A00055931817,5182,10,,10,,0.0,,5,,5,,0.0,,3,,5,,-40.0,,2.84,,3.5,,4722,,592,
2021-01-01,Fountain 3A,2021A00055931834,5183,0,,0,r,,...,0,,3,r,-100.0,,0,,1,r,-100.0,,0.23,,0.0,,4831,,644,
2021-01-01,Fountain Creek 8,2021A00055931822,5184,0,,0,,,...,2,,2,,0.0,,2,,2,,0.0,,0.23,,0.0,,4831,,644,
2021-01-01,Kowtain 17,2021A00055931802,5185,59,,35,,68.6,,15,,12,,25.0,,15,,10,,50.0,,0.24,,245.0,,4462,,509,
2021-01-01,Lillooet,2021A00055931026,5186,2302,,2275,,1.2,,1214,,1207,,0.6,,1111,,1074,,3.4,,27.63,,83.3,,1261,,188,
2021-01-01,Lillooet 1,2021A00055931821,5187,285,,243,,17.3,,112,,110,,1.8,,109,,84,,29.8,,3.78,,75.4,,3556,,375,
2021-01-01,McCartney's Flat 4,2021A00055931823,5188,24,,26,,-7.7,,13,,18,,-27.8,,13,,13,,0.0,,1.81,,13.2,,4645,,565,
2021-01-01,Mission 5,2021A00055931833,5189,19,,23,,-17.4,,16,,11,,45.5,,14,,10,,40.0,,0.26,,73.1,,4676,,573,
2021-01-01,Mount Currie,2021A00055931843,5190,1242,,1285,,-3.3,,406,,433,,-6.2,,393,,414,,-5.1,,24.05,,51.7,,1856,,261,
2021-01-01,Necait 6,2021A00055931826,5191,5,,20,,-75.0,,10,,9,,11.1,,7,,8,,-12.5,,0.37,,13.5,,4760,,610,
2021-01-01,Nequatque,2021A00055931844,5192,155,,164,r,-5.5,,70,,72,r,-2.8,,62,,63,r,-1.6,,1.97,,78.8,,4033,,429,
2021-01-01,Nesikep 6,2021A00055931827,5193,5,,10,,-50.0,,3,,3,,0.0,,3,,3,,0.0,,5.60,,0.9,,4760,,610,
2021-01-01,Nesuch 3,2021A00055931812,5194,95,,138,,-31.2,,37,,53,,-30.2,,37,,51,,-27.5,,4.74,,20.0,,4284,,466,
2021-01-01,Pashilqua 2,2021A00055931828,5195,57,,45,,26.7,,18,,12,,50.0,,18,,12,,50.0,,3.13,,18.2,,4474,,514,
2021-01-01,Pavilion 1,2021A00055931829,5196,48,,52,,-7.7,,31,,23,,34.8,,28,,22,,27.3,,9.42,,5.1,,4521,,528,
2021-01-01,Pemberton,2021A00055931012,5197,3407,,2574,,32.4,,1430,,1028,,39.1,,1357,,964,,40.8,,61.36,,55.5,,951,,146,
2021-01-01,Seaichem 16,2021A00055931806,5198,15,,51,,-70.6,,10,,29,,-65.5,,9,,26,,-65.4,,0.03,,524.5,,4694,,580,
2021-01-01,Seton Lake 5,2021A00055931824,5199,0,,0,,,...,5,,5,,0.0,,0,,0,,,...,0.02,,0.0,,4831,,644,
2021-01-01,Slosh 1,2021A00055931831,5200,215,,152,r,41.4,,101,,80,r,26.3,,89,,66,r,34.8,,7.00,,30.7,,3810,,405,
2021-01-01,Squamish,2021A00055931006,5201,23819,,19497,r,22.2,,9906,,7569,r,30.9,,9191,,7255,r,26.7,,104.71,,227.5,,186,,32,
2021-01-01,Squamish-Lillooet A,2021A00055931032,5202,305,,187,,63.1,,498,,538,,-7.4,,166,,112,,48.2,,3712.38,,0.1,,3492,,369,
2021-01-01,Squamish-Lillooet B,2021A00055931034,5203,373,,383,r,-2.6,,275,,323,r,-14.9,,164,,189,r,-13.2,,3463.88,,0.1,,3265,,349,
2021-01-01,Squamish-Lillooet C,2021A00055931017,5204,2000,,1663,,20.3,,1122,,964,,16.4,,815,,655,,24.4,,5513.22,,0.4,,1380,,204,
2021-01-01,Squamish-Lillooet D,2021A00055931021,5205,1057,,1057,,0.0,,578,,589,,-1.9,,448,,439,,2.1,,3040.20,,0.3,,2045,,271,
2021-01-01,Stawamus 24,2021A00055931807,5206,98,,107,,-8.4,,31,,29,,6.9,,30,,27,,11.1,,0.26,,381.6,,4264,,462,
2021-01-01,Towinock 2,2021A00055931832,5207,16,,5,,220.0,,6,,3,,100.0,,6,,3,,100.0,,0.88,,18.2,,4686,,578,
2021-01-01,Waiwakum 14,2021A00055931808,5208,224,,175,r,28.0,,58,,51,r,13.7,,52,,49,r,6.1,,0.17,,1303.8,,3773,,399,
2021-01-01,Whistler,2021A00055931020,5209,13982,,11746,r,19.0,,10065,,9386,r,7.2,,5597,,4454,r,25.7,,240.00,,58.3,,310,,47,
2021-01-01,Yekwaupsum 18,2021A00055931809,5210,17,,28,,-39.3,,13,,12,,8.3,,11,,10,,10.0,,0.02,,696.7,,4683,,576,
2021-01-01,Stikine,2021A00035957,5211,683,,740,,-7.7,,667,,617,,8.1,,386,,367,,5.2,,118408.76,,0.0,,293,,29,
2021-01-01,Dease River 1,2021A00055957820,5212,39,,52,r,-25.0,,37,,30,r,23.3,,24,,24,r,0.0,,1.48,,26.3,,4561,,539,
2021-01-01,Five Mile Point 3,2021A00055957803,5213,83,,114,,-27.2,,50,,51,,-2.0,,48,,49,,-2.0,,7.86,,10.6,,4334,,482,
2021-01-01,Good Hope Lake,2021A00055957804,5214,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.47,,0.0,,4831,,644,
2021-01-01,Liard River 3,2021A00055957814,5215,114,,66,r,72.7,,68,,36,r,88.9,,60,,31,r,93.5,,2.88,,39.5,,4201,,448,
2021-01-01,Lower Post,2021A00055957813,5216,5,,25,r,-80.0,,9,,10,r,-10.0,,4,,10,r,-60.0,,0.15,,33.2,,4760,,610,
2021-01-01,Stikine Region,2021A00055957022,5217,424,,455,r,-6.8,,491,,474,r,3.6,,240,,239,r,0.4,,118395.89,,0.0,,3109,,339,
2021-01-01,Unnamed 10,2021A00055957802,5218,18,,28,,-35.7,,12,,16,,-25.0,,10,,14,,-28.6,,0.03,,676.7,,4680,,575,
2021-01-01,Strathcona,2021A00035924,5219,48150,,44671,,7.8,,23017,,21681,,6.2,,21227,,19610,,8.2,,18243.66,,2.6,,129,,18,
2021-01-01,Ahaminaquus 12,2021A00055924803,5220,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.18,,0.0,,4831,,644,
2021-01-01,Campbell River,2021A00055924034,5221,35519,,33007,r,7.6,,16194,,14981,r,8.1,,15557,,14371,r,8.3,,144.38,,246.0,,136,,27,
2021-01-01,Campbell River 11,2021A00055924804,5222,506,,381,,32.8,,186,,154,,20.8,,168,,138,,21.7,,1.02,,498.2,,2929,,323,
2021-01-01,Cape Mudge 10,2021A00055924817,5223,145,,147,,-1.4,,66,,68,,-2.9,,60,,57,,5.3,,4.94,,29.3,,4077,,437,
2021-01-01,Chenahkint 12,2021A00055924805,5224,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.24,,0.0,,4831,,644,
2021-01-01,Ehatis 11,2021A00055924836,5225,91,,88,,3.4,,19,,21,,-9.5,,19,,21,,-9.5,,0.23,,393.8,,4299,,471,
2021-01-01,Gold River,2021A00055924025,5226,1246,,1212,,2.8,,692,,789,,-12.3,,610,,573,,6.5,,10.92,,114.2,,1852,,260,
2021-01-01,Homalco 9,2021A00055924840,5227,214,,202,,5.9,,84,,78,,7.7,,80,,74,,8.1,,0.78,,275.5,,3815,,406,
2021-01-01,Houpsitas 6,2021A00055924806,5228,157,,181,,-13.3,,62,,53,,17.0,,49,,51,,-3.9,,0.14,,1159.5,,4023,,427,
2021-01-01,Nenagwas 12,2021A00055924843,5229,0,,0,r,,...,0,,0,r,,...,0,,0,r,,...,2.40,,0.0,,4831,,644,
2021-01-01,Oclucje 7,2021A00055924833,5230,29,,30,,-3.3,,11,,11,,0.0,,7,,8,,-12.5,,0.12,,234.6,,4610,,554,
2021-01-01,Quinsam 12,2021A00055924812,5231,312,,294,,6.1,,116,,107,,8.4,,113,,100,,13.0,,1.41,,221.8,,3472,,368,
2021-01-01,Sayward,2021A00055924039,5232,334,,311,,7.4,,182,,178,,2.2,,166,,152,,9.2,,4.44,,75.2,,3404,,357,
2021-01-01,Squirrel Cove 8,2021A00055924818,5233,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.17,,0.0,,4831,,644,
2021-01-01,Strathcona A,2021A00055924048,5234,864,,764,,13.1,,474,,440,,7.7,,391,,354,,10.5,,7111.01,,0.1,,2289,,283,
2021-01-01,Strathcona B,2021A00055924052,5235,1059,,1035,,2.3,,804,,788,,2.0,,558,,535,,4.3,,135.55,,7.8,,2043,,270,
2021-01-01,Strathcona C,2021A00055924054,5236,2737,,2431,,12.6,,1663,,1519,,9.5,,1332,,1169,,13.9,,9229.03,,0.3,,1120,,170,
2021-01-01,Strathcona D (Oyster Bay - Buttle Lake),2021A00055924042,5237,4153,,3977,r,4.4,,1853,,1880,r,-1.4,,1722,,1706,r,0.9,,1584.07,,2.6,,833,,120,
2021-01-01,Tahsis,2021A00055924030,5238,393,,248,,58.5,,398,,400,,-0.5,,231,,152,,52.0,,5.26,,74.7,,3203,,345,
2021-01-01,Tork 7,2021A00055924820,5239,60,,64,,-6.3,,42,,38,,10.5,,33,,30,,10.0,,2.63,,22.8,,4454,,508,
2021-01-01,Tsa Xana 18,2021A00055924835,5240,205,,187,,9.6,,62,,61,,1.6,,60,,59,,1.7,,1.83,,112.0,,3852,,411,
2021-01-01,Village Island 1,2021A00055924813,5241,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.55,,0.0,,4831,,644,
2021-01-01,Yuquot 1,2021A00055924814,5242,0,,5,,-100.0,,0,,2,,-100.0,,0,,2,,-100.0,,0.81,,0.0,,4831,,644,
2021-01-01,Zeballos,2021A00055924029,5243,126,,107,,17.8,,109,,113,,-3.5,,71,,58,,22.4,,1.55,,81.4,,4144,,443,
2021-01-01,Sunshine Coast,2021A00035929,5244,32170,,29970,,7.3,,17982,,17379,,3.5,,14935,,13995,,6.7,,3767.43,,8.5,,172,,23,
2021-01-01,Chekwelp 26,2021A00055929801,5245,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.13,,0.0,,4831,,644,
2021-01-01,Gibsons,2021A00055929005,5246,4758,,4605,,3.3,,2482,,2320,,7.0,,2282,,2221,,2.7,,4.31,,1103.2,,765,,108,
2021-01-01,Sechelt,2021A00055929011,5247,10847,,10216,,6.2,,5738,,5378,,6.7,,5128,,4855,,5.6,,39.02,,278.0,,403,,61,
2021-01-01,Sechelt (Part),2021A00055929803,5248,744,,676,r,10.1,,360,,342,r,5.3,,324,,294,r,10.2,,10.79,,68.9,,2449,,294,
2021-01-01,Sunshine Coast A,2021A00055929018,5249,3039,,2619,r,16.0,,2508,,2327,r,7.8,,1562,,1379,r,13.3,,1898.02,,1.6,,1037,,158,
2021-01-01,Sunshine Coast B,2021A00055929022,5250,2969,,2726,,8.9,,1859,,1753,,6.0,,1370,,1247,,9.9,,1269.45,,2.3,,1054,,162,
2021-01-01,Sunshine Coast D,2021A00055929024,5251,3523,,3421,,3.0,,1796,,1776,,1.1,,1550,,1508,,2.8,,143.36,,24.6,,931,,141,
2021-01-01,Sunshine Coast E,2021A00055929026,5252,3883,,3664,,6.0,,1763,,1650,,6.8,,1608,,1549,,3.8,,21.60,,179.7,,880,,136,
2021-01-01,Sunshine Coast F,2021A00055929028,5253,2407,,2043,,17.8,,1476,,1833,,-19.5,,1111,,942,,17.9,,380.75,,6.3,,1222,,180,
2021-01-01,Thompson-Nicola,2021A00035933,5254,143680,,132663,,8.3,,65065,,62157,,4.7,,59885,,55504,,7.9,,44347.23,,3.2,,48,,6,
2021-01-01,105 Mile Post 2,2021A00055933845,5255,5,,10,,-50.0,,5,,4,,25.0,,4,,4,,0.0,,13.65,,0.4,,4760,,610,
2021-01-01,Ashcroft,2021A00055933019,5256,1670,,1558,,7.2,,876,,801,,9.4,,793,,755,,5.0,,50.86,,32.8,,1556,,225,
2021-01-01,Ashcroft 4,2021A00055933844,5257,42,,68,,-38.2,,27,,29,,-6.9,,23,,29,,-20.7,,1.40,,30.0,,4540,,535,
2021-01-01,Barriere,2021A00055933074,5258,1765,,1713,,3.0,,848,,816,,3.9,,760,,787,,-3.4,,10.73,,164.5,,1504,,220,
2021-01-01,Basque 18,2021A00055933828,5259,,..,0,,,..,,..,4,,,..,,..,1,,,..,4.29,,,..,,..,,..
2021-01-01,Bonaparte 3,2021A00055933812,5260,159,,121,,31.4,,56,,50,,12.0,,53,,44,,20.5,,7.06,,22.5,,4009,,425,
2021-01-01,Boothroyd 8A,2021A00055933897,5261,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.03,,0.0,,4831,,644,
2021-01-01,Cache Creek,2021A00055933024,5262,969,,963,,0.6,,522,,497,,5.0,,471,,468,,0.6,,10.40,,93.2,,2144,,277,
2021-01-01,Canoe Creek 1,2021A00055933814,5263,56,,60,,-6.7,,19,,19,,0.0,,17,,15,,13.3,,0.70,,79.5,,4480,,517,
2021-01-01,Canoe Creek 2,2021A00055933821,5264,104,,34,,205.9,,18,,11,,63.6,,18,,10,,80.0,,15.76,,6.6,,4233,,456,
2021-01-01,Chase,2021A00055933054,5265,2399,,2286,,4.9,,1249,,1169,,6.8,,1175,,1089,,7.9,,3.75,,639.3,,1225,,181,
2021-01-01,Chuchhraischin,2021A00055933810,5266,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.18,,0.0,,4831,,644,
2021-01-01,Clearwater,2021A00055933067,5267,2388,,2324,,2.8,,1145,,1074,,6.6,,1057,,1021,,3.5,,55.65,,42.9,,1232,,183,
2021-01-01,Clinton,2021A00055933028,5268,568,,641,,-11.4,,336,,381,,-11.8,,291,,327,,-11.0,,8.14,,69.7,,2780,,313,
2021-01-01,Coldwater 1,2021A00055933801,5269,350,,318,,10.1,,121,,116,,4.3,,117,,113,,3.5,,18.35,,19.1,,3347,,354,
2021-01-01,Douglas Lake 3,2021A00055933802,5270,188,,149,,26.2,,80,,75,,6.7,,70,,58,,20.7,,94.50,,2.0,,3895,,414,
2021-01-01,Entlqwekkinh 19,2021A00055933899,5271,5,,0,r,,...,11,,0,r,,...,8,,0,r,,...,0.76,,6.6,,4760,,610,
2021-01-01,Halhalaeden,2021A00055933813,5272,10,,5,,100.0,,4,,3,,33.3,,4,,2,,100.0,,1.66,,6.0,,4722,,592,
2021-01-01,Hamilton Creek 2,2021A00055933803,5273,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.81,,0.0,,4831,,644,
2021-01-01,High Bar 1,2021A00055933819,5274,0,,0,,,...,0,,1,,-100.0,,0,,1,,-100.0,,13.45,,0.0,,4831,,644,
2021-01-01,Inkluckcheen,2021A00055933833,5275,190,,156,r,21.8,,58,,59,r,-1.7,,58,,53,r,9.4,,4.33,,43.9,,3888,,412,
2021-01-01,Inklyuhkinatko 2,2021A00055933825,5276,26,,30,,-13.3,,14,,14,,0.0,,13,,14,,-7.1,,0.69,,37.7,,4622,,558,
2021-01-01,Joeyaska 2,2021A00055933805,5277,58,,42,,38.1,,22,,18,,22.2,,22,,17,,29.4,,1.30,,44.5,,4465,,510,
2021-01-01,Kamloops,2021A00055933042,5278,97902,,90280,,8.4,,41619,,39081,,6.5,,39914,,36814,,8.4,,297.93,,328.6,,61,,12,
2021-01-01,Kamloops 1,2021A00055933880,5279,3915,,3021,,29.6,,1789,,1518,,17.9,,1707,,1382,,23.5,,136.73,,28.6,,872,,133,
2021-01-01,Kanaka Bar,2021A00055933882,5280,0,,15,r,-100.0,,1,,5,r,-80.0,,1,,5,r,-80.0,,1.16,,0.0,,4831,,644,
2021-01-01,Kitzowit 20,2021A00055933823,5281,21,,16,,31.3,,7,,7,,0.0,,7,,7,,0.0,,0.12,,172.0,,4652,,567,
2021-01-01,Klahkamich 17,2021A00055933829,5282,33,,32,,3.1,,15,,18,,-16.7,,15,,12,,25.0,,0.12,,278.0,,4586,,546,
2021-01-01,Kleetlekut 22,2021A00055933831,5283,15,,10,,50.0,,5,,3,,66.7,,5,,3,,66.7,,1.21,,12.4,,4694,,580,
2021-01-01,Klickkumcheen 18,2021A00055933832,5284,82,,80,,2.5,,27,,32,,-15.6,,26,,31,,-16.1,,0.23,,360.9,,4337,,484,
2021-01-01,Kloklowuck 7,2021A00055933861,5285,,..,5,,,..,,..,4,,,..,,..,4,,,..,0.81,,,..,,..,,..
2021-01-01,Kumcheen 1,2021A00055933834,5286,,..,41,,,..,,..,18,,,..,,..,17,,,..,0.15,,,..,,..,,..
2021-01-01,Logan Lake,2021A00055933035,5287,2255,,1993,,13.1,,1135,,1108,,2.4,,1064,,941,,13.1,,324.28,,7.0,,1275,,192,
2021-01-01,Louis Creek 4,2021A00055933888,5288,15,,10,,50.0,,8,,8,,0.0,,8,,8,,0.0,,0.03,,465.8,,4694,,580,
2021-01-01,Lower Hat Creek 2,2021A00055933836,5289,61,,25,,144.0,,21,,18,,16.7,,18,,14,,28.6,,8.38,,7.3,,4451,,507,
2021-01-01,Lytton,2021A00055933015,5290,210,,249,,-15.7,,118,,139,,-15.1,,104,,121,,-14.0,,6.73,,31.2,,3836,,407,
2021-01-01,Lytton 4A,2021A00055933839,5291,0,,0,,,...,0,,0,,,...,0,,0,,,...,1.62,,0.0,,4831,,644,
2021-01-01,Lytton 4E,2021A00055933840,5292,5,,5,,0.0,,3,,3,,0.0,,3,,2,,50.0,,1.25,,4.0,,4760,,610,
2021-01-01,Lytton 9A,2021A00055933841,5293,10,,5,,100.0,,4,,5,,-20.0,,3,,2,,50.0,,1.52,,6.6,,4722,,592,
2021-01-01,Lytton 9B,2021A00055933842,5294,0,,0,,,...,1,,1,,0.0,,1,,1,,0.0,,0.73,,0.0,,4831,,644,
2021-01-01,Marble Canyon 3,2021A00055933872,5295,97,,84,,15.5,,38,,33,,15.2,,37,,31,,19.4,,2.84,,34.1,,4267,,463,
2021-01-01,Merritt,2021A00055933006,5296,7051,,7139,,-1.2,,3149,,3176,,-0.9,,2975,,2983,,-0.3,,26.04,,270.7,,581,,79,
2021-01-01,Nekalliston 2,2021A00055933886,5297,0,,0,,,...,0,,1,,-100.0,,0,,1,,-100.0,,0.02,,0.0,,4831,,644,
2021-01-01,Nekliptum 1,2021A00055933896,5298,66,,56,r,17.9,,22,,12,r,83.3,,20,,12,r,66.7,,0.14,,472.8,,4423,,499,
2021-01-01,Neskonlith,2021A00055933898,5299,279,,237,,17.7,,99,,79,,25.3,,99,,75,,32.0,,24.73,,11.3,,3586,,377,
2021-01-01,Nickel Palm 4,2021A00055933848,5300,5,,5,,0.0,,5,,6,,-16.7,,4,,2,,100.0,,0.61,,8.2,,4760,,610,
2021-01-01,Nickeyeah 25,2021A00055933850,5301,34,,10,,240.0,,9,,7,,28.6,,9,,5,,80.0,,1.05,,32.4,,4585,,545,
2021-01-01,Nicola Lake 1,2021A00055933806,5302,148,,123,,20.3,,55,,58,,-5.2,,48,,48,,0.0,,11.32,,13.1,,4067,,436,
2021-01-01,Nicola Mameet 1,2021A00055933807,5303,513,,532,,-3.6,,213,,209,,1.9,,195,,197,,-1.0,,45.97,,11.2,,2902,,320,
2021-01-01,Nicomen 1,2021A00055933851,5304,41,,63,,-34.9,,21,,20,,5.0,,18,,20,,-10.0,,0.67,,60.8,,4545,,536,
2021-01-01,Nkaih 10,2021A00055933870,5305,5,,0,,,...,1,,1,,0.0,,1,,0,,,...,1.16,,4.3,,4760,,610,
2021-01-01,Nohomeen 23,2021A00055933852,5306,5,,5,,0.0,,4,,1,,300.0,,4,,1,,300.0,,0.15,,33.6,,4760,,610,
2021-01-01,Nooaitch 10,2021A00055933808,5307,170,,142,,19.7,,81,,55,,47.3,,57,,52,,9.6,,7.30,,23.3,,3974,,421,
2021-01-01,North Thompson 1,2021A00055933887,5308,181,,218,,-17.0,,97,,97,,0.0,,80,,88,,-9.1,,12.80,,14.1,,3925,,417,
2021-01-01,Nuuautin 2,2021A00055933853,5309,101,,124,r,-18.5,,51,,42,r,21.4,,51,,39,r,30.8,,1.84,,54.9,,4248,,459,
2021-01-01,Oregon Jack Creek 5,2021A00055933846,5310,0,,0,,,...,0,,0,,,...,0,,0,,,...,4.35,,0.0,,4831,,644,
2021-01-01,Papyum 27,2021A00055933855,5311,35,,20,,75.0,,11,,9,,22.2,,11,,8,,37.5,,0.47,,74.1,,4577,,542,
2021-01-01,Paska Island 3,2021A00055933854,5312,0,,5,,-100.0,,0,,1,,-100.0,,0,,1,,-100.0,,0.55,,0.0,,4831,,644,
2021-01-01,Paul's Basin 2,2021A00055933809,5313,35,,25,,40.0,,10,,11,,-9.1,,10,,9,,11.1,,5.65,,6.2,,4577,,542,
2021-01-01,Pemynoos 9,2021A00055933857,5314,0,,0,,,...,0,,0,,,...,0,,0,,,...,19.00,,0.0,,4831,,644,
2021-01-01,Peq-Paq 22,2021A00055933837,5315,0,,0,,,...,0,,0,,,...,0,,0,,,...,1.93,,0.0,,4831,,644,
2021-01-01,Sahhaltkum 4,2021A00055933884,5316,316,,304,,3.9,,118,,119,,-0.8,,117,,106,,10.4,,13.41,,23.6,,3455,,366,
2021-01-01,Seah 5,2021A00055933858,5317,10,,10,,0.0,,5,,6,,-16.7,,4,,4,,0.0,,1.60,,6.3,,4722,,592,
2021-01-01,Shackan 11,2021A00055933859,5318,50,,64,,-21.9,,38,,31,,22.6,,30,,30,,0.0,,25.52,,2.0,,4507,,524,
2021-01-01,Shawniken 4B,2021A00055933895,5319,,..,16,,,..,,..,9,,,..,,..,7,,,..,0.04,,,..,,..,,..
2021-01-01,Siska Flat,2021A00055933849,5320,101,,90,,12.2,,39,,39,,0.0,,36,,31,,16.1,,0.62,,162.5,,4248,,459,
2021-01-01,Skeetchestn,2021A00055933817,5321,242,,293,,-17.4,,125,,125,,0.0,,125,,117,,6.8,,79.92,,3.0,,3715,,390,
2021-01-01,Skuppah 2A,2021A00055933824,5322,0,,0,,,...,0,,0,,,...,0,,0,,,...,0.19,,0.0,,4831,,644,
2021-01-01,Skuppah 4,2021A00055933865,5323,10,,5,,100.0,,4,,4,,0.0,,4,,4,,0.0,,0.13,,77.6,,4722,,592,
2021-01-01,Skwayaynope 26,2021A00055933866,5324,5,,10,,-50.0,,2,,2,,0.0,,2,,2,,0.0,,0.98,,5.1,,4760,,610,
2021-01-01,Spences Bridge,2021A00055933881,5325,,..,5,,,..,,..,5,,,..,,..,3,,,..,0.23,,,..,,..,,..
2021-01-01,Spintlum Flat 3,2021A00055933868,5326,5,,10,,-50.0,,2,,2,,0.0,,2,,2,,0.0,,1.78,,2.8,,4760,,610,
2021-01-01,Squaam 2,2021A00055933889,5327,0,,10,r,-100.0,,0,,31,r,-100.0,,0,,4,r,-100.0,,0.31,,0.0,,4831,,644,
2021-01-01,Stequmwhulpa 5,2021A00055933892,5328,26,,10,r,160.0,,8,,8,r,0.0,,8,,5,r,60.0,,0.99,,26.2,,4622,,558,
2021-01-01,Stryen 9,2021A00055933873,5329,57,,71,,-19.7,,23,,22,,4.5,,23,,18,,27.8,,2.53,,22.6,,4474,,514,
2021-01-01,Sun Peaks Mountain,2021A00055933045,5330,1404,,616,,127.9,,1506,,1146,,31.4,,622,,290,,114.5,,40.85,,34.4,,1734,,250,
2021-01-01,Thompson-Nicola A (Wells Gray Country),2021A00055933068,5331,1573,,1493,,5.4,,813,,826,,-1.6,,700,,710,,-1.4,,7085.66,,0.2,,1620,,238,
2021-01-01,Thompson-Nicola B (Thompson Headwaters),2021A00055933070,5332,230,,233,,-1.3,,180,,222,,-18.9,,115,,122,,-5.7,,5126.20,,0.0,,3747,,394,
2021-01-01,Thompson-Nicola E (Bonaparte Plateau),2021A00055933032,5333,1162,,1094,,6.2,,1183,,1352,,-12.5,,604,,525,,15.0,,6625.50,,0.2,,1934,,264,
2021-01-01,Thompson-Nicola I (Blue Sky Country),2021A00055933037,5334,1038,,1262,r,-17.7,,557,,646,r,-13.8,,443,,561,r,-21.0,,5736.53,,0.2,,2066,,274,
2021-01-01,Thompson-Nicola J (Copper Desert Country),2021A00055933039,5335,1796,,1580,,13.7,,868,,998,,-13.0,,759,,683,,11.1,,3285.56,,0.5,,1481,,215,
2021-01-01,Thompson-Nicola L (Grasslands),2021A00055933060,5336,3321,,2945,r,12.8,,1425,,1424,r,0.1,,1345,,1261,r,6.7,,1912.94,,1.7,,969,,150,
